File,SHA-1,SHA-256
bc-fips-1.0.1.dll,b3b0a1ece29c2f3d9b0409051dd2a0c0cb584f13,b814dd227eb1fe24d6b92a6988b8b029e0f7957d3ddaee36c6a34f0d1161d5db
bc-fips-1.0.1.pdb,bc899892a5d505526cf4a063b3427f3db54b1fe0,aba8eab816fe210bbbcecd8e8173abc6919b2be20b0247e296262edc05c74ad0
bc-fips-1.0.1-sources.zip,8451176dcedac9dc1f8778337d42238ebb3945e5,7df31513e5559d92426bed9fca962d98605579c1dd87b32bc99cb90f90ed0534
bc-fips-1.0.1.xml,848992fad3da065eac85dc43813a2a47d98369f0,d431eeca4537aebcb663bdfac6faf795f4ddbfc7e5427245ce54708ab7980efe
bcpg-fips-1.0.1.dll,03fe0f5fd3caf264963b848226cb2fd3731222e4,9d3a3d4c618bb7e79409e37794b7085c044a56f5c170b0b544281844527f220d
bcpg-fips-1.0.1.pdb,d2a586dc62d95547a0f8a1b04895163b870bd790,47728c1a743c1a8326413d98707bedf3479c08773d190c353ba310f790f7a9ca
bcpg-fips-1.0.1-sources.zip,1d1304054d0365aab940f6dc9df2f304c63be611,ce112cf6878b8a2ff31a4667ace01b7b903b8b43010319c3cdf9ae2e2100d5c6
bcpg-fips-1.0.1.xml,f8ab322fdc757f0d605948520bad9510efc07812,5f7257f82b27d0e2b693f2ff8536cc88e1799f6dc761ceaac54b59f3016c27d4
bcpkix-fips-1.0.1.dll,3a54065fff8b84ae163b316c545712ce681ece62,e09ca2b4c8527f593c7f56e9558c95342478a75c88a93ddf7dc5d350552936de
bcpkix-fips-1.0.1.pdb,07850c48d44c638ffafff6bc6ff9dc140ee709ba,9b119a7b1485c9b5fa30d0e955df0131dee6a266cc93ef6b49d2abfd295ec7cc
bcpkix-fips-1.0.1-sources.zip,e0343713cfc6cac9019c8e3f22c0d89c11c38bd5,c7e84c5066eb195003f2cdc1dfbbb352029b817ee4dbd56d0beda66f5e31b371
bcpkix-fips-1.0.1.xml,377152f122120abcfbb03917f6a6a50aedf3b83c,cf6b296bac7c75657006355e9e5fa1d0db992a99b679ef08683d8cff2b807ab2
